"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2021","9.6011","9.5238","9.6115","9.4485","","0.65%"
"11/01/2021","9.5392","9.6087","9.6221","9.4717","","-0.72%"
"10/29/2021","9.6080","9.5309","9.6328","9.4885","","0.05%"
"10/28/2021","9.6030","9.5256","9.6315","9.5140","","0.63%"
"10/28/2021","9.5433","9.4969","9.6455","9.4711","","0.17%"
"10/27/2021","9.5272","9.4750","9.6313","9.4740","","0.32%"
"10/27/2021","9.4972","9.5554","9.5671","9.4533","","0.10%"
"10/26/2021","9.4876","9.5205","9.5476","9.4495","","-0.59%"
"10/26/2021","9.5438","9.5913","9.6308","9.3953","","0.09%"
"10/25/2021","9.5350","9.5779","9.6205","9.3915","","-0.56%"
"10/25/2021","9.5884","9.6072","9.8618","9.5228","","-0.11%"
"10/22/2021","9.5988","9.5371","9.6812","9.4901","","-0.10%"
"10/21/2021","9.6083","9.5208","9.6647","9.4685","","0.93%"
"10/21/2021","9.5193","9.2210","9.5625","9.1974","","-0.07%"
"10/20/2021","9.5257","9.2125","9.5357","9.1990","","3.32%"
"10/20/2021","9.2195","9.3022","9.3615","9.1942","","0.08%"
"10/19/2021","9.2125","9.2981","9.3538","9.1850","","-0.96%"
"10/19/2021","9.3016","9.3348","9.3819","9.2348","","0.12%"
"10/18/2021","9.2908","9.3359","9.3727","9.2485","","-0.47%"
"10/18/2021","9.3343","9.2653","9.3727","9.2355","","0.71%"
"10/15/2021","9.2683","9.1902","9.2912","9.1692","","0.18%"
"10/14/2021","9.2517","9.1708","9.2746","9.1640","","0.70%"
"10/14/2021","9.1870","9.0595","9.2116","9.0541","","0.16%"
"10/13/2021","9.1720","9.1454","9.2043","9.0975","","0.90%"
"10/13/2021","9.0900","9.0443","9.1141","8.9994","","-0.76%"
"10/12/2021","9.1596","9.0379","9.1855","8.9960","","1.29%"
"10/12/2021","9.0428","9.0035","9.0528","8.9748","","0.16%"
"10/11/2021","9.0280","8.9996","9.0454","8.9675","","0.31%"
"10/11/2021","8.9997","8.9879","9.0267","8.9107","","0.05%"
"10/10/2021","8.9950","8.9614","9.0154","8.9015","","0.20%"
"10/08/2021","8.9767","8.8836","9.0003","8.8478","","0.17%"
"10/07/2021","8.9614","8.8693","8.9850","8.8470","","0.94%"
"10/07/2021","8.8781","8.8659","8.9058","8.8345","","0.10%"
"10/06/2021","8.8689","8.8669","8.8857","8.8305","","-0.13%"
